,author,date,likes,views
4226,Eduardo Paes,February 2012,27K,924K
4227,Jon Bergmann,April 2012,217K,7.2M
4228,Aaron Reedy,April 2012,100K,3.3M
4229,Adrián Paenza,April 2012,152K,5M
4230,Michael Norton,November 2011,135K,4.5M
4231,Brian Greene,February 2012,213K,7.1M
4232,Christina Warinner,February 2012,22K,757K
4233,Laura Carstensen,December 2011,45K,1.5M
4234,Taryn Simon,November 2011,24K,826K
4235,Drew Curtis,February 2012,33K,1.1M
4236,Atul Gawande,March 2012,65K,2.1M
4237,Abigail Washburn,February 2012,31K,1M
4238,Tal Golesworthy,October 2011,43K,1.4M
4239,Melinda Gates,April 2012,41K,1.3M
4240,Frans de Waal,November 2011,161K,5.3M
4241,Frank Warren,February 2012,102K,3.4M
4242,Jonathan Foley,October 2010,29K,981K
4243,Carvens Lissaint,November 2011,11K,391K
4244,Lucy McRae,February 2012,50K,1.6M
4245,Jack Choi,February 2012,31K,1M
4246,Chip Kidd,March 2012,79K,2.6M
4247,Sherry Turkle,February 2012,212K,7M
4248,Tierney Thys and Plankton Chronicles Project,April 2012,54K,1.8M
4249,Rick Falkvinge,October 2013,6.8K,227K
4250,Daniel Schnitzer,November 2011,11K,381K
4251,Marco Tempest,March 2012,44K,1.4M
4252,Ayah Bdeir,February 2012,39K,1.3M
4253,Leymah Gbowee,March 2012,42K,1.4M
4254,Regina Dugan,March 2012,53K,1.7M
4255,Donald Sadoway,March 2012,73K,2.4M
4256,Chris Anderson,March 2012,47K,1.5M
4257,Chris Anderson,March 2012,81K,2.7M
4258,Peter Saul,November 2011,35K,1.1M
4259,Jer Thorp,November 2011,9.5K,317K
4260,Billy Collins,February 2012,42K,1.4M
4261,Taylor Wilson,March 2012,113K,3.7M
4262,Noel Bairey Merz,December 2011,28K,948K
4263,T. Boone Pickens,March 2012,21K,701K
4264,Mark Raymond,November 2011,5.6K,189K
4265,Scott Summit,November 2011,6.1K,203K
4266,Brené Brown,March 2012,504K,16M
4267,Rob Reid,March 2012,97K,3.2M
4268,Jonathan Haidt,February 2012,42K,1.4M
4269,Adam Savage,November 2011,94K,3.1M
4270,David Gallo,March 2012,35K,1.1M
